Comment,Designator,Footprint,LCSC,Quantity
100K,R40,R_0402_1005Metric,C60491,1
100n,"C12,C17,C18,C2,C20,C21,C22,C23,C24,C3,C33,C5,C6,C7,C8",C_0402_1005Metric,C1525,15
10K,"R10,R11,R14,R19,R30,R31,R32,R34,R35,R36,R38,R6,R7,R8,R9",R_0402_1005Metric,C60489,15
10R,R1,R_0603_1608Metric,C109318,1
10n,"C1,C25,C26,C27,C28,C29,C30,C31,C34",C_0402_1005Metric,C15195,9
10u,"C10,C11,C13,C32,C35,C37,C39,C40,C41,C42",C_0603_1608Metric,C86275,10
12.5p,"C14,C19",C_0402_1005Metric,C26406,2
120R@100MHz,FB1,R_0402_1005Metric,C38480,1
150R,"R15,R17,R18,R22,R29",R_0402_1005Metric,C138054,5
1u,"C16,C36,C38,C9",C_0402_1005Metric,C29266,4
22R,R24,R_0402_1005Metric,C114765,1
27nH 5%,L1,L_0402_1005Metric,C12669,1
330R,"R13,R23,R28,R33,R37",R_0402_1005Metric,C105875,5
39K,R39,R_0402_1005Metric,C137995,1
4.7u,C15,C_0603_1608Metric,C69335,1
47pF,C4,C_0402_1005Metric,C437519,1
5.1K,"R12,R16,R2,R21,R3,R4,R41,R5",R_0402_1005Metric,C105872,8
5mR,R20,R_0805_2012Metric,C92742,1
750R,"R25,R26,R27",R_0402_1005Metric,C137936,3
AP2127K-3.3,U5,SOT-23-5,C156285,1
AP33771C,U9,W-DFN3030-14 (Type A1) Diodes,C24735840,1
B3U-1000P,"SW2,SW3",SW_SPST_B3U-1000P,C231329,2
CR2032,BT1,Battery_holder_CR2032_SMD,C70377,1
Conn_ST_STDC14,J3,ST STDC14,C7465995,1
DMN3008SFG,"Q1,Q2,Q3",Diodes_PowerDI3333-8,C384563,3
ECS-TXO-2520MV,Y1,ECS_TXO-2520MV,C2602138,1
ESDA6V1SC5,D1,SOT-23-5,C2935146,1
ESDALC6V1-1U2,"D10,D13,D14,D15,D16,D17,D18,D3,D4,D5,D7,D9",ST ESDALC6V1-1U2,C1974498,12
HDC1080,U2,Texas_PWSON-N6,C82227,1
LED,D8,LED_LiteON_LTST-C281KGKT,C160479,1
LED,"D11,D12,D2,D6",LED_LiteON_LTST-C281KGKT,C364556,4
Q13MC14620002,Y2,Crystal_SMD_SeikoEpson_MC146-4Pin_6.7x1.5mm,C15482,1
STM32G0B0CET6,U4,LQFP-48_7x7mm_P0.5mm,C2826978,1
TLC5926,"U6,U7,U8",HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,C527434,3
USB_C_Receptacle,J2,USB_C_Receptacle_Molex_105450-0101,C134092,1
W25Q32JVZP,U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C571260,1
