Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR2032,Battery_holder_CR2032_SMD,115.0,-100.0,0.0,top
C1,10n,C_0402_1005Metric,250.25,-88.25,-90.0,top
C10,10u,C_0603_1608Metric,235.0,-110.2,-90.0,top
C11,10u,C_0603_1608Metric,230.0,-112.45,-90.0,top
C12,100n,C_0402_1005Metric,237.4,-111.5,90.0,top
C13,10u,C_0603_1608Metric,231.75,-112.45,-90.0,top
C14,12.5p,C_0402_1005Metric,211.75,-104.25,-90.0,top
C15,4.7u,C_0603_1608Metric,213.25,-101.5,-90.0,top
C16,1u,C_0402_1005Metric,209.45,-101.25,-90.0,top
C17,100n,C_0402_1005Metric,211.5,-97.25,90.0,top
C18,100n,C_0402_1005Metric,208.75,-99.5,0.0,top
C19,12.5p,C_0402_1005Metric,207.75,-104.25,-90.0,top
C2,100n,C_0402_1005Metric,221.5,-81.5,0.0,top
C20,100n,C_0402_1005Metric,208.25,-101.25,-90.0,top
C21,100n,C_0402_1005Metric,175.25,-97.2,90.0,top
C22,100n,C_0402_1005Metric,155.25,-97.2,90.0,top
C23,100n,C_0402_1005Metric,135.25,-97.2,90.0,top
C24,100n,C_0402_1005Metric,100.0,-99.5,90.0,top
C25,10n,C_0402_1005Metric,69.25,-91.5,180.0,top
C26,10n,C_0402_1005Metric,75.48,-91.505,180.0,top
C27,10n,C_0402_1005Metric,72.25,-114.25,180.0,top
C28,10n,C_0402_1005Metric,72.25,-91.5,180.0,top
C29,10n,C_0402_1005Metric,75.25,-114.25,180.0,top
C3,100n,C_0402_1005Metric,206.27,-86.0,0.0,top
C30,10n,C_0402_1005Metric,69.25,-114.25,180.0,top
C31,10n,C_0402_1005Metric,243.7,-117.4,-90.0,top
C32,10u,C_0603_1608Metric,225.0,-120.45,180.0,top
C33,100n,C_0402_1005Metric,236.0,-115.2,-90.0,top
C34,10n,C_0402_1005Metric,241.2,-117.4,-90.0,top
C35,10u,C_0603_1608Metric,221.75,-115.2,-90.0,top
C36,1u,C_0402_1005Metric,216.5,-115.0,-90.0,top
C37,10u,C_0603_1608Metric,192.0,-120.45,180.0,top
C38,1u,C_0402_1005Metric,214.0,-115.0,-90.0,top
C39,10u,C_0603_1608Metric,158.5,-120.45,180.0,top
C4,47pF,C_0402_1005Metric,248.5,-90.75,0.0,top
C40,10u,C_0603_1608Metric,125.0,-120.45,180.0,top
C41,10u,C_0603_1608Metric,91.5,-120.45,180.0,top
C42,10u,C_0603_1608Metric,58.0,-120.45,180.0,top
C5,100n,C_0402_1005Metric,250.75,-98.5,0.0,top
C6,100n,C_0402_1005Metric,219.93,-98.02,90.0,top
C7,100n,C_0402_1005Metric,234.25,-90.75,-90.0,top
C8,100n,C_0402_1005Metric,233.5,-110.2,-90.0,top
C9,1u,C_0402_1005Metric,240.0,-111.5,90.0,top
D1,ESDA6V1SC5,SOT-23-5,247.0,-111.0,0.0,top
D10,ESDALC6V1-1U2,ST ESDALC6V1-1U2,232.5,-105.25,0.0,top
D11,LED,LED_LiteON_LTST-C281KGKT,209.75,-112.75,0.0,top
D12,LED,LED_LiteON_LTST-C281KGKT,214.0,-90.5,180.0,top
D13,ESDALC6V1-1U2,ST ESDALC6V1-1U2,72.25,-112.5,180.0,top
D14,ESDALC6V1-1U2,ST ESDALC6V1-1U2,75.5,-90.005,180.0,top
